founder	side	K_f	max_jacc_other	mean_jacc_to_cactus	mean_jacc_to_PG	nn_founder	nn_side	h_filt2	h_hf	err	accession_name
6177	PG	2225899	0.7567183893099105	0.5905799742294322	0.6075491237043916	8376	PG	0.0012898927610170033	0.003934	-0.0026441072389829967	NA
6180	PG	2250288	0.8254742360488377	0.5921650406353727	0.612086203826039	7127	cactus	0.0028268796360364193	0.017023	-0.014196120363963581	TóL 07
6188	PG	2182098	0.7936349355594203	0.6041305132124433	0.6288362350158357	6195	PG	0.0006445393924902138	0.003909	-0.0032644606075097862	NA
6195	PG	2209262	0.7936349355594203	0.6012088509331711	0.6244485876950921	6188	PG	0.0016626975110594893	0.003132	-0.0014693024889405105	NA
6209	PG	2230731	0.8451384585520274	0.5904440347182901	0.6097464135854903	6013	PG	0.0028843003368774706	0.00324	-0.00035569966312252923	NA
6216	PG	2221337	0.8680057406908256	0.5890052610616003	0.6089527194215211	9371	PG	0.001067197439012545	0.002453	-0.0013858025609874548	NA
6243	PG	2179024	0.6911722081821892	0.6060933352994905	0.6324019006545424	7106	PG	0.0002469942296432331	0.003409	-0.003162005770356767	NA
6940	PG	2249770	0.6725747939764993	0.5966142898690732	0.6185987963177314	7062	PG	0.0049205470740598094	0.003965	0.0009555470740598097	NA
6961	PG	2190201	0.7438023104534449	0.5871610236490257	0.6106729035865293	8357	PG	0.003497611256999339	0.003467	3.061125699933918e-05	NA
6987	PG	2226145	0.6926325995727726	0.599380760691385	0.622505224388832	5772	cactus	0.0033525742780267692	0.004769	-0.0014164257219732306	NA
7008	PG	2248876	0.678202441078851	0.5987104536689112	0.6201496255473803	7062	PG	0.005324295486348575	0.00492	0.00040429548634857496	NA
7013	PG	2239889	0.6857308501707269	0.601394705892914	0.6230746340780129	7346	cactus	0.0027029715750750555	0.002759	-5.602842492494469e-05	NA
7028	PG	2202993	0.6671587297457598	0.6033004299335862	0.62733259710215	7031	PG	0.0018834236676379351	0.00407	-0.002186576332362065	NA
7031	PG	2218477	0.7113938853392218	0.6073041426427113	0.6314710678196622	8312	PG	0.0012678005060918003	0.003478	-0.0022101994939082	NA
7036	PG	2254814	0.673961672530987	0.5997223534645629	0.6230213597966446	7125	PG	0.00438152124616379	0.003131	0.00125052124616379	NA
7062	PG	2259781	0.6863941997296027	0.5985419504898509	0.6215508423058892	7125	PG	0.004229330544730182	0.004127	0.00010233054473018227	NA
7067	PG	2288356	0.7886376827454666	0.5877029041801485	0.6064885247444156	7298	cactus	0.005687788872073344	0.002978	0.002709788872073344	Ct-1
7071	PG	2223678	0.6817691933411777	0.6024303835430949	0.6279370478050259	6108	PG	0.00323094469804193	0.0038	-0.0005690553019580698	NA
7077	PG	2148661	0.7097617610662961	0.6072095790761105	0.6350268302742378	9726	PG	0.0006691400486825934	0.002742	-0.0020728599513174066	NA
