label	n	MAE	RMSE	R2	slope	intercept	sample	h_sum
SV_med_50-500bp	43027	0.021190008148550987	0.04142289608716965	0.9463218556360291	0.9722135578260896	-0.0014386318953715552	MLFH040520200206	0.9999969005584717
SV_big_500-5kb	38706	0.015972524881362915	0.034118153154850006	0.9361448027225793	0.9743842093783494	-0.002165716726626372	MLFH040520200206	0.9999969005584717
SV_huge_>=5kb	8907	0.015520578250288963	0.03411876782774925	0.9108484380370887	0.984468966360266	-0.003201568725971117	MLFH040520200206	0.9999969005584717
all_poly	2543724	0.023278681561350822	0.037242017686367035	0.9712613194915386	0.9753568362984837	-0.0004763333450516485	MLFH040620180306	1.0000030994415283
SNP	2434993	0.0236415583640337	0.037648219615221024	0.9713717914823419	0.9755179173757584	-0.0004198852539766403	MLFH040620180306	1.0000030994415283
INS	71657	0.014092068187892437	0.02492082677781582	0.8839303027756281	0.8961332427735459	0.000279925014630376	MLFH040620180306	1.0000030994415283
DEL	37074	0.017202455550432205	0.02948535792529583	0.9604772240304565	0.9644155902180599	-0.000905100915127099	MLFH040620180306	1.0000030994415283
SV_all	108731	0.015152618288993835	0.026565460488200188	0.9375546060846949	0.9440410865162419	-0.0007752311246840831	MLFH040620180306	1.0000030994415283
SV_med_50-500bp	49597	0.01699749566614628	0.029443595558404922	0.9468178084784106	0.9523246111378662	-0.0003609024772541634	MLFH040620180306	1.0000030994415283
SV_big_500-5kb	47607	0.013638016767799854	0.02399844117462635	0.9210354814112056	0.9273304859274449	-0.0008014232448502067	MLFH040620180306	1.0000030994415283
SV_huge_>=5kb	11527	0.013470066711306572	0.023413630202412605	0.8732271997086312	0.8969218975010324	-0.0008431909541957493	MLFH040620180306	1.0000030994415283
all_poly	2617796	0.02084522880613804	0.03306162729859352	0.9753972635571219	0.980802840959394	-0.0004517678080382028	MLFH040620180321	0.9999969601631165
SNP	2504663	0.021193750202655792	0.03345748782157898	0.9754693590623601	0.9808848884270838	-0.0003995039470665442	MLFH040620180321	0.9999969601631165
