label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
SV_all	15214	0.015562502957802024	0.03293995447120819	0.944277021002386	0.9232336984762706	0.0013546149017380161	MLFH040120200206	15327
1.untagged_<0.2	188	0.015177180851063826	0.027184112371485148	0.9881538279489289	0.9519649275710216	-0.0015662906249625948	MLFH040220180306	188
2.weak_0.2-0.5	4083	0.012346818515797208	0.023408095841363143	0.9748625117428159	0.954962102166973	0.00014325647157587787	MLFH040220180306	4139
3.medium_0.5-0.8	5486	0.011662079839591688	0.021883994355465702	0.9691609388709777	0.9453907804738609	0.0007685874932648416	MLFH040220180306	5522
4.strong_>=0.8	8229	0.010882917729979341	0.02075696592888402	0.9550003809570508	0.9254478979658176	0.0007979806693164913	MLFH040220180306	8271
SV_all	17986	0.011497779939953297	0.02180161893521614	0.9677907831215844	0.9430717720552887	0.0004959971035108117	MLFH040220180306	18120
1.untagged_<0.2	195	0.012900666666666668	0.02074646343664879	0.9915552920578201	0.9656753384690177	0.0008296377199746946	MLFH040220180321	195
2.weak_0.2-0.5	4153	0.011601307488562486	0.020984643348534802	0.9782095473008804	0.9594435762763083	0.00016215620982847987	MLFH040220180321	4210
3.medium_0.5-0.8	5581	0.010974767962730694	0.01908637738316557	0.9728971941877493	0.9548904526394755	8.049639863502547e-05	MLFH040220180321	5620
4.strong_>=0.8	8278	0.01029298502053636	0.017739544336223108	0.9600508796994015	0.9424148936815713	0.00021527105062797098	MLFH040220180321	8326
SV_all	18207	0.01082832811555995	0.018968343974691045	0.972121982678436	0.953705807269337	7.339227074289622e-05	MLFH040220180321	18351
1.untagged_<0.2	181	0.025864751381215474	0.0473891463784181	0.9610900150557571	0.9298427576301684	0.0015330500612420455	MLFH040220190208	181
2.weak_0.2-0.5	3883	0.01881263713623487	0.03734921366157921	0.940425810751782	0.9215432289063584	0.002064428670693424	MLFH040220190208	3918
3.medium_0.5-0.8	5158	0.017673927879022878	0.03539572551375676	0.9272321806134134	0.9152025656269873	0.0026990173168587248	MLFH040220190208	5183
4.strong_>=0.8	7758	0.016129966486207785	0.03262938816115121	0.9016983799229201	0.8827088252287402	0.0027960399638535796	MLFH040220190208	7787
SV_all	16980	0.017316218492343934	0.03478448197910629	0.9255370024599773	0.9082359339798638	0.002429612147425757	MLFH040220190208	17069
1.untagged_<0.2	180	0.02203322222222222	0.03822796025889369	0.9781568440033839	0.9178826116673661	0.00370599228874825	MLFH040220190221	180
2.weak_0.2-0.5	3907	0.018727332992065523	0.03413430993431066	0.9474408903752126	0.9229100129622554	0.0016602861776888493	MLFH040220190221	3934
3.medium_0.5-0.8	5241	0.01758487120778477	0.0313787674793207	0.9363853574826287	0.9080945078628739	0.0018478904822476527	MLFH040220190221	5265
4.strong_>=0.8	7850	0.016367649681528658	0.02991349844144562	0.9108661378156508	0.8642138773709537	0.0022178984315415393	MLFH040220190221	7888
SV_all	17178	0.0173350814995925	0.03145854803572857	0.9344103585296696	0.9009194109602101	0.0017495965546278844	MLFH040220190221	17267
1.untagged_<0.2	174	0.023002126436781616	0.03922348549488962	0.9751224406421145	0.944812461920208	-0.001749154445687525	MLFH040220200212	174
2.weak_0.2-0.5	3690	0.015720598915989162	0.03027128294861342	0.96226407945427	0.9433508816517526	0.0008542145924362842	MLFH040220200212	3736
3.medium_0.5-0.8	4935	0.014930012158054711	0.028200773734238682	0.9551788366013313	0.9407146267557246	0.001082835189132905	MLFH040220200212	4968
4.strong_>=0.8	7459	0.013281632926665773	0.02660823630736652	0.9367716058692601	0.9144579441998706	0.0011577254226479896	MLFH040220200212	7490
SV_all	16258	0.014439579899126583	0.028118855115106964	0.9529276479959551	0.933876541912026	0.0009148464398751026	MLFH040220200212	16368
1.untagged_<0.2	181	0.019734530386740334	0.03906402743223642	0.9737023977309338	0.949371078704193	-0.002288353944101356	MLFH040320180306	181
2.weak_0.2-0.5	3824	0.014319474372384938	0.026949006933695036	0.9699721048114428	0.9428590246803973	0.0006944951992438776	MLFH040320180306	3867
3.medium_0.5-0.8	5134	0.013269888975457734	0.024444117529337797	0.9651811263715405	0.9429631473395935	0.0010057960688610104	MLFH040320180306	5164
4.strong_>=0.8	7742	0.012202596228364762	0.02339583099631784	0.9495739326837145	0.919965124701784	0.001048324714086255	MLFH040320180306	7780
SV_all	16881	0.013087478822344647	0.024771597223374544	0.9625499975822107	0.9362638069500843	0.0008215254525829705	MLFH040320180306	16992
1.untagged_<0.2	202	0.012274306930693072	0.019665896311197518	0.992502736802934	0.9685468131611497	0.0006369219122199659	MLFH040320180321	202
2.weak_0.2-0.5	4121	0.012112659548653239	0.021852000329342706	0.9772665084153952	0.9509904676063492	0.0005523810026796838	MLFH040320180321	4172
3.medium_0.5-0.8	5537	0.011775797363193065	0.020456572471637076	0.9712817306985511	0.9394035719888609	0.0006893168243197579	MLFH040320180321	5572
4.strong_>=0.8	8199	0.011247033784607879	0.019187545938037086	0.9554782739661312	0.9365829035142622	0.00014245471094293059	MLFH040320180321	8244
SV_all	18059	0.011618179301179466	0.02021751265493032	0.9699508990099365	0.9442263311775143	0.0003098607850276804	MLFH040320180321	18190
1.untagged_<0.2	176	0.021527272727272728	0.0396936393175623	0.9746813697248704	0.9342526096326554	0.0003880740017012551	MLFH040320190208	176
2.weak_0.2-0.5	3674	0.01609232716385411	0.031479964005346306	0.9592039981394784	0.9399533098437021	0.0009628520760780458	MLFH040320190208	3719
3.medium_0.5-0.8	4910	0.01557884114052953	0.03021379791721797	0.950785705013825	0.9334338790824817	0.001839442601899346	MLFH040320190208	4942
4.strong_>=0.8	7365	0.0142629083503055	0.0280913087568276	0.9331896808960706	0.9083070690980211	0.0013694457905088064	MLFH040320190208	7398
SV_all	16125	0.015159717209302327	0.029688077059720052	0.9491587112835377	0.928013438733816	0.0012820681598412018	MLFH040320190208	16235
1.untagged_<0.2	179	0.018231787709497207	0.03440738043634854	0.9817893592833411	0.9338123405362573	0.0039058335265588933	MLFH040320190221	179
