blockdef,model,cls,axis,missing,npts,rho,p,ci_lo,ci_hi,ambiguous,direction
clq0.9 tile,binomial,sv,bio10,False,4481,0.21511031959593718,4.5969750572068734e-48,0.1868627391713352,0.24300248934690846,False,increasing
clq0.9 tile,binomial,sv,bio11,False,4481,0.2694086713838576,2.286797224745052e-75,0.24189605455797852,0.29648843331438285,False,increasing
clq0.9 tile,binomial,sv,bio12,False,4481,0.015598175989559199,0.2965231737221936,-0.013838751732271753,0.045008089287173675,True,increasing
clq0.9 tile,binomial,sv,bio13,False,4481,-0.024064330250164922,0.10725458709713277,-0.053457045382374904,0.005370047822070096,True,decreasing
clq0.9 tile,binomial,sv,bio14,False,4481,-0.10718096989048306,6.317393599632982e-13,-0.13618197266746654,-0.07799642676961907,False,decreasing
clq0.9 tile,binomial,sv,bio15,False,4481,-0.04419494290136394,0.0030859717407581305,-0.07352987872831214,-0.014783596809151206,False,decreasing
clq0.9 tile,binomial,sv,bio16,False,4481,-0.004276020351046125,0.7747560266068795,-0.03370235391246288,0.025157720499817272,True,decreasing
clq0.9 tile,binomial,sv,bio17,False,4481,-0.08985316253257733,1.6878839413178717e-09,-0.11896913182337993,-0.060582794646946464,False,decreasing
clq0.9 tile,binomial,sv,bio18,False,4481,0.020899935619131945,0.16187001911769655,-0.008535889640985849,0.05029957135664885,True,increasing
clq0.9 tile,binomial,sv,bio19,False,4481,-0.05554036949435343,0.00019944265213506373,-0.08483227878274613,-0.026152543190234114,False,decreasing
clq0.9 tile,binomial,sv,pc1,False,4481,0.06921966231254043,3.52046029017304e-06,0.03987031023100744,0.09844967800255275,False,increasing
clq0.9 tile,binomial,smallindel,bio1,False,41692,-0.010708024029804147,0.028784325423740233,-0.020354025988208457,-0.0010600287673005195,False,decreasing
clq0.9 tile,binomial,smallindel,bio2,False,41692,-0.030284553946714417,6.213366237765035e-10,-0.039920994265643724,-0.02064248066685852,False,decreasing
clq0.9 tile,binomial,smallindel,bio3,False,41692,-0.05217096030557228,1.5739201428192703e-26,-0.061787964055134495,-0.0425442702255687,False,decreasing
clq0.9 tile,binomial,smallindel,bio4,False,41692,0.017363912919074624,0.0003916724766883102,0.007717100979794338,0.027007493161113963,False,increasing
clq0.9 tile,binomial,smallindel,bio5,False,41692,-0.0208420976071725,2.0811377306258625e-05,-0.030484072440720298,-0.01119624424710319,False,decreasing
clq0.9 tile,binomial,smallindel,bio6,False,41692,0.023518424925958833,1.5657333400208215e-06,0.013873468153690099,0.03315900565109059,False,increasing
clq0.9 tile,binomial,smallindel,bio7,False,41692,-0.00568596134323288,0.2456543620499278,-0.015333224958007766,0.003962360803272676,True,decreasing
clq0.9 tile,binomial,smallindel,bio8,False,41692,0.010375192980000298,0.03413573852121791,0.0007271609931640047,0.0200212936058529,False,increasing
clq0.9 tile,binomial,smallindel,bio9,False,41692,0.0006557088169689262,0.8934953424073049,-0.008992452848753203,0.010303748408219002,True,increasing
clq0.9 tile,binomial,smallindel,bio10,False,41692,-0.011475751388505259,0.019119292948000435,-0.021121517606221087,-0.0018278489902361344,False,decreasing
clq0.9 tile,binomial,smallindel,bio11,False,41692,-0.019090760112414656,9.686719265884188e-05,-0.028733572461991416,-0.009444394895899377,False,decreasing
clq0.9 tile,binomial,smallindel,bio12,False,41692,-0.08349371538195516,2.1798837437128606e-65,-0.09306684958858419,-0.07390514534731674,False,decreasing
clq0.9 tile,binomial,smallindel,bio13,False,41692,-0.05640897302576191,9.670872954702448e-31,-0.06602114647433599,-0.04678633122745306,False,decreasing
clq0.9 tile,binomial,smallindel,bio14,False,41692,-0.11684497268075629,1.1900315083121989e-126,-0.12635063827124982,-0.10731785080964923,False,decreasing
clq0.9 tile,binomial,smallindel,bio15,False,41692,-0.1281169440937029,4.542941228795935e-152,-0.13759496969557883,-0.1186154581890562,False,decreasing
clq0.9 tile,binomial,smallindel,bio16,False,41692,-0.07411165593222208,7.242583880696382e-52,-0.08369991217265721,-0.06450967796387494,False,decreasing
clq0.9 tile,binomial,smallindel,bio17,False,41692,-0.13164824773912617,1.5803637498424e-160,-0.14111711175687583,-0.12215529925979736,False,decreasing
clq0.9 tile,binomial,smallindel,bio18,False,41692,-0.03683658456708157,5.3186489214511336e-14,-0.04646817440426371,-0.027198146099645857,False,decreasing
clq0.9 tile,binomial,smallindel,bio19,False,41692,-0.15730663538998352,3.629429280208498e-229,-0.16670173512583306,-0.14788297421557106,False,decreasing
clq0.9 tile,binomial,smallindel,pc1,False,41692,-0.039760305791781615,4.60558597445932e-16,-0.04938946419692637,-0.030123756837884593,False,decreasing
clq0.9 tile,binomial,nonsnp,bio1,False,41869,-0.021464740872985364,1.1206901755285673e-05,-0.031086006200121072,-0.011839498142196533,False,decreasing
clq0.9 tile,binomial,nonsnp,bio2,False,41869,-0.014808666572894192,0.002443816763745206,-0.024432872531475514,-0.005181715914488708,False,decreasing
clq0.9 tile,binomial,nonsnp,bio3,False,41869,-0.035566016988384366,3.348756773278996e-13,-0.04517823655385914,-0.025947212363185295,False,decreasing
clq0.9 tile,binomial,nonsnp,bio4,False,41869,0.014346500488196438,0.003328686567596421,0.0047194629252010675,0.02397087897531719,False,increasing
clq0.9 tile,binomial,nonsnp,bio5,False,41869,-0.033614015554428264,5.993233672120749e-12,-0.04322771540440721,-0.02399409121700664,False,decreasing
clq0.9 tile,binomial,nonsnp,bio6,False,41869,0.019830542153205222,4.9497586056660846e-05,0.010204801044857298,0.029452608425876325,False,increasing
clq0.9 tile,binomial,nonsnp,bio7,False,41869,0.010828730705003871,0.026707630153863748,0.0012011665009596024,0.020454287662267995,False,increasing
clq0.9 tile,binomial,nonsnp,bio8,False,41869,-0.02015802765051724,3.7071123217685564e-05,-0.0297799375347431,-0.010532382292584987,False,decreasing
clq0.9 tile,binomial,nonsnp,bio9,False,41869,0.004474717195644932,0.35988191838799427,-0.005153194242528195,0.014101799105840161,True,increasing
clq0.9 tile,binomial,nonsnp,bio10,False,41869,-0.020659465916699222,2.3614738515861046e-05,-0.030281132343450104,-0.011033971173357403,False,decreasing
clq0.9 tile,binomial,nonsnp,bio11,False,41869,-0.020771187881858263,2.1327991806786856e-05,-0.030392799406467927,-0.011145727355763746,False,decreasing
clq0.9 tile,binomial,nonsnp,bio12,False,41869,-0.0903022162534085,1.567417509206779e-76,-0.09984310192399243,-0.08074472642282736,False,decreasing
clq0.9 tile,binomial,nonsnp,bio13,False,41869,-0.04734674207480538,3.222787975930356e-22,-0.05694847213118599,-0.03773625432627982,False,decreasing
clq0.9 tile,binomial,nonsnp,bio14,False,41869,-0.13001558031409213,3.03957683252867e-157,-0.13946868986579122,-0.12053877524880094,False,decreasing
clq0.9 tile,binomial,nonsnp,bio15,False,41869,-0.14474709239918096,8.466666477125709e-195,-0.15415994760384907,-0.1353079654482426,False,decreasing
clq0.9 tile,binomial,nonsnp,bio16,False,41869,-0.05653053414857005,5.444137245049076e-31,-0.0661222359969133,-0.04692838588557172,False,decreasing
clq0.9 tile,binomial,nonsnp,bio17,False,41869,-0.14757087402180558,1.783072377634231e-202,-0.15697553786177515,-0.1381394484962389,False,decreasing
clq0.9 tile,binomial,nonsnp,bio18,False,41869,-0.03563912892379773,2.996633811958452e-13,-0.045251291621521715,-0.026020367664042848,False,decreasing
clq0.9 tile,binomial,nonsnp,bio19,False,41869,-0.1336309760101549,4.486881358951244e-166,-0.14307459174843679,-0.1241630294588997,False,decreasing
clq0.9 tile,binomial,nonsnp,pc1,False,41869,-0.028707603839578242,4.224322665123949e-09,-0.03832470078868053,-0.01908518932241788,False,decreasing
clq0.5 tile,kendall,snp,bio1,False,28041,-0.19962825800023418,5.903913219943184e-250,-0.21089743896974653,-0.18830602058058935,False,decreasing
clq0.5 tile,kendall,snp,bio2,False,28041,-0.2763103272534944,0.0,-0.2871414102425845,-0.2654085985685532,False,decreasing
clq0.5 tile,kendall,snp,bio3,False,28041,0.1561522179650361,1.5228283559260684e-152,0.1446534752318779,0.16760879065020604,False,increasing
clq0.5 tile,kendall,snp,bio4,False,28041,-0.17940055935251592,1.747291948174671e-201,-0.1907624232694081,-0.16799063434566552,False,decreasing
clq0.5 tile,kendall,snp,bio5,False,28041,0.08684529275213065,4.389884114208478e-48,0.07515760217950813,0.09850912531728455,False,increasing
clq0.5 tile,kendall,snp,bio6,False,28041,-0.18924233090644033,2.2475887025690044e-224,-0.20056029435309977,-0.17787385980440146,False,decreasing
clq0.5 tile,kendall,snp,bio7,False,28041,-0.20786658055452026,2.6797011786511165e-271,-0.2190952741062107,-0.19658283413935038,False,decreasing
clq0.5 tile,kendall,snp,bio8,False,28041,-0.07464180403839664,6.102815040364108e-36,-0.08633047367049874,-0.06293258821101799,False,decreasing
clq0.5 tile,kendall,snp,bio9,False,28041,-0.2766786869825845,0.0,-0.2875073345506774,-0.26577931513690967,False,decreasing
clq0.5 tile,kendall,snp,bio10,False,28041,-0.057246672604493724,8.502153412004744e-22,-0.06896470475594647,-0.04551284616008325,False,decreasing
