model,cls,axis,n_blocks,z_nominal,z_honest_perm,z_honest_emp,max_z,hits_nominal,hits_honest_perm,hits_honest_emp
lfmm,nonsnp,bio10,41908,4.71762147723684,6.624461829627677,7.6175630370930385,5.921436224769499,15,0,0
lfmm,nonsnp,bio11,41908,4.71762147723684,6.624461829627677,7.974324017164548,6.188439074437596,7,0,0
lfmm,nonsnp,bio12,41908,4.71762147723684,6.624461829627677,6.824272903035132,5.891258576150283,6,0,0
lfmm,nonsnp,bio13,41908,4.71762147723684,6.624461829627677,6.774824674418262,5.617731496515445,8,0,0
lfmm,nonsnp,bio14,41908,4.71762147723684,6.624461829627677,7.397576710408001,5.984631380647146,11,0,0
lfmm,nonsnp,bio15,41908,4.71762147723684,6.624461829627677,6.640808630845795,6.1333878437508975,7,0,0
lfmm,nonsnp,bio16,41908,4.71762147723684,6.624461829627677,7.080900824149978,5.380950181508718,9,0,0
lfmm,nonsnp,bio17,41908,4.71762147723684,6.624461829627677,7.7724690426873835,6.811379694393975,9,1,0
lfmm,nonsnp,bio18,41908,4.71762147723684,6.624461829627677,7.034325226282771,5.766996361858858,5,0,0
lfmm,nonsnp,bio19,41908,4.71762147723684,6.624461829627677,6.137982527659696,5.637719526277419,7,0,0
lfmm,nonsnp,bio1,41908,4.71762147723684,6.624461829627677,6.963991654187355,5.52684437448557,11,0,0
lfmm,nonsnp,bio2,41908,4.71762147723684,6.624461829627677,6.42197029158757,5.498666179147655,8,0,0
lfmm,nonsnp,bio3,41908,4.71762147723684,6.624461829627677,5.75475699651296,5.180767480172072,4,0,0
lfmm,nonsnp,bio4,41908,4.71762147723684,6.624461829627677,6.10501327102881,5.265976871152448,2,0,0
lfmm,nonsnp,bio5,41908,4.71762147723684,6.624461829627677,6.282306793178613,5.635934762331949,11,0,0
lfmm,nonsnp,bio6,41908,4.71762147723684,6.624461829627677,7.856060885303333,6.01529403157196,8,0,0
lfmm,nonsnp,bio7,41908,4.71762147723684,6.624461829627677,6.724930399511935,5.811411824304347,7,0,0
lfmm,nonsnp,bio8,41908,4.71762147723684,6.624461829627677,6.4594828767273444,5.495340455516495,9,0,0
lfmm,nonsnp,bio9,41908,4.71762147723684,6.624461829627677,6.125896975317957,5.278680953330229,7,0,0
lfmm,smallindel,bio10,41731,4.716760060233092,6.465106948736625,7.6678797164624815,5.922589532416793,15,0,0
lfmm,smallindel,bio11,41731,4.716760060233092,6.465106948736625,8.167588691942559,6.1726442372382015,8,0,0
lfmm,smallindel,bio12,41731,4.716760060233092,6.465106948736625,6.735053706648199,6.018617564526708,7,0,0
lfmm,smallindel,bio13,41731,4.716760060233092,6.465106948736625,6.8930723943784,5.590828424434609,6,0,0
lfmm,smallindel,bio14,41731,4.716760060233092,6.465106948736625,7.135783916442881,5.905784407877332,11,0,0
lfmm,smallindel,bio15,41731,4.716760060233092,6.465106948736625,6.570669297084118,6.319556090876992,7,0,0
lfmm,smallindel,bio16,41731,4.716760060233092,6.465106948736625,6.912851385684778,5.271472158099662,8,0,0
lfmm,smallindel,bio17,41731,4.716760060233092,6.465106948736625,7.843403445160391,6.87711265654299,11,1,0
lfmm,smallindel,bio18,41731,4.716760060233092,6.465106948736625,6.7626261055767465,5.708067432578386,5,0,0
lfmm,smallindel,bio19,41731,4.716760060233092,6.465106948736625,6.04124547778084,5.468476032718264,6,0,0
lfmm,smallindel,bio1,41731,4.716760060233092,6.465106948736625,6.894233345569646,5.521853541502558,11,0,0
lfmm,smallindel,bio2,41731,4.716760060233092,6.465106948736625,6.532223759784057,5.512626876641761,6,0,0
lfmm,smallindel,bio3,41731,4.716760060233092,6.465106948736625,5.665776849758608,5.200808286388879,3,0,0
lfmm,smallindel,bio4,41731,4.716760060233092,6.465106948736625,6.1646243295081025,5.238522890462515,2,0,0
lfmm,smallindel,bio5,41731,4.716760060233092,6.465106948736625,6.338404792981685,5.66270090972485,12,0,0
lfmm,smallindel,bio6,41731,4.716760060233092,6.465106948736625,7.423869255571798,5.977737406857502,8,0,0
lfmm,smallindel,bio7,41731,4.716760060233092,6.465106948736625,6.602706830224411,5.91590673317463,7,0,0
lfmm,smallindel,bio8,41731,4.716760060233092,6.465106948736625,6.657906406136071,5.4895327589081395,11,0,0
lfmm,smallindel,bio9,41731,4.716760060233092,6.465106948736625,6.11242217000076,5.244123697013654,7,0,0
lfmm,snp,bio10,56846,4.779291636472057,6.477023275768772,8.169575732629454,6.82707030521726,17,1,0
lfmm,snp,bio11,56846,4.779291636472057,6.477023275768772,6.915964772344767,6.775280498787643,7,1,0
lfmm,snp,bio12,56846,4.779291636472057,6.477023275768772,6.72122949535277,5.653174111129198,8,0,0
lfmm,snp,bio13,56846,4.779291636472057,6.477023275768772,6.169323471819936,5.221956370344264,5,0,0
lfmm,snp,bio14,56846,4.779291636472057,6.477023275768772,7.161277991763102,6.308554846624038,12,0,0
lfmm,snp,bio15,56846,4.779291636472057,6.477023275768772,5.896462668065698,5.746009056424119,4,0,0
lfmm,snp,bio16,56846,4.779291636472057,6.477023275768772,6.350363809308513,5.201184513708344,3,0,0
lfmm,snp,bio17,56846,4.779291636472057,6.477023275768772,6.986681585961293,6.600543003700107,9,1,0
lfmm,snp,bio18,56846,4.779291636472057,6.477023275768772,6.486596149489835,5.7299994742382845,7,0,0
lfmm,snp,bio19,56846,4.779291636472057,6.477023275768772,6.232876005307981,6.133088052143961,5,0,0
lfmm,snp,bio1,56846,4.779291636472057,6.477023275768772,7.499756232174256,6.366239012038741,9,0,0
lfmm,snp,bio2,56846,4.779291636472057,6.477023275768772,7.011131091479699,5.727172140021217,13,0,0
lfmm,snp,bio3,56846,4.779291636472057,6.477023275768772,6.815890879931503,6.02115835211303,10,0,0
lfmm,snp,bio4,56846,4.779291636472057,6.477023275768772,5.830443367917923,5.0920238401620805,4,0,0
lfmm,snp,bio5,56846,4.779291636472057,6.477023275768772,7.043705416678867,6.182241688691857,10,0,0
lfmm,snp,bio6,56846,4.779291636472057,6.477023275768772,6.435048804829936,6.044170365939734,8,0,0
lfmm,snp,bio7,56846,4.779291636472057,6.477023275768772,5.882550961778993,5.254303778123371,5,0,0
lfmm,snp,bio8,56846,4.779291636472057,6.477023275768772,6.679764478395223,6.325563603216729,7,0,0
lfmm,snp,bio9,56846,4.779291636472057,6.477023275768772,6.519858839594908,5.757631082146566,6,0,0
lfmm,sv,bio10,4520,4.242301762633215,5.240899410710076,4.534931383950209,4.320377383321881,1,0,0
lfmm,sv,bio11,4520,4.242301762633215,5.240899410710076,6.6420185256220465,4.560869463647043,1,0,0
lfmm,sv,bio12,4520,4.242301762633215,5.240899410710076,3.77433018482672,3.6521170651658217,0,0,0
lfmm,sv,bio13,4520,4.242301762633215,5.240899410710076,4.826440575686396,4.345122342852935,1,0,0
lfmm,sv,bio14,4520,4.242301762633215,5.240899410710076,3.7168684439524853,3.6625117761226895,0,0,0
lfmm,sv,bio15,4520,4.242301762633215,5.240899410710076,5.627587238256828,4.4176775327058735,2,0,0
lfmm,sv,bio16,4520,4.242301762633215,5.240899410710076,4.962092863877118,4.302069476973128,1,0,0
lfmm,sv,bio17,4520,4.242301762633215,5.240899410710076,4.77483203049484,3.8645350098595506,0,0,0
lfmm,sv,bio18,4520,4.242301762633215,5.240899410710076,6.012438375346639,4.343920158080575,1,0,0
lfmm,sv,bio19,4520,4.242301762633215,5.240899410710076,4.681796620419657,4.083534954583236,0,0,0
lfmm,sv,bio1,4520,4.242301762633215,5.240899410710076,4.992452409574873,4.45216271297159,2,0,0
lfmm,sv,bio2,4520,4.242301762633215,5.240899410710076,5.302801582155953,4.7926105154409395,1,0,0
lfmm,sv,bio3,4520,4.242301762633215,5.240899410710076,5.324203971967436,4.372530157646344,1,0,0
lfmm,sv,bio4,4520,4.242301762633215,5.240899410710076,5.036803901245804,3.7571534103481463,0,0,0
lfmm,sv,bio5,4520,4.242301762633215,5.240899410710076,4.252216854831478,4.118115133771156,0,0,0
lfmm,sv,bio6,4520,4.242301762633215,5.240899410710076,5.311225047313038,4.151843050696511,0,0,0
lfmm,sv,bio7,4520,4.242301762633215,5.240899410710076,4.193892794000271,3.7654200001186386,0,0,0
lfmm,sv,bio8,4520,4.242301762633215,5.240899410710076,6.755852495399267,4.893287232830414,2,0,0
lfmm,sv,bio9,4520,4.242301762633215,5.240899410710076,5.412687538498256,4.491485539586981,2,0,0
