panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct	read_count	base_count	library_layout	instrument_model	clump_in	clump_out	dup_count	dup_pct	gz_r1	gz_r2	n_r1	n_r2	pair_ok	bases_total	cov_est	lmean_r1	lmean_r2	qc_reads_total	trim_out	clump_in_pairs	clump_out_pairs	qc_reads_pairs	pct_ena_to_trim_in	pct_trim_surv	pct_clump_link	pct_clump_keep	pct_qc_link	flag_ena_link	flag_low_trim	flag_high_dup	flag_clump_link	flag_qc_link	flag_low_cov
main	7404	PE	9346984	7942984.0	854823.0	209476.0		339701	3.63	9346984.0	1888090768.0	PAIRED	Illumina HiSeq 2000	15885968	15867924	18044	0.114	OK	OK	7933962.0	7933962.0	yes	1452946910.0	12.14	94.0	89.1	15867924.0	7942984.0	7942984.0	7933962.0	7933962.0	100.0	84.97911197879444	100.0	99.8864154831484	100.0	False	False	False	False	False	False
main	7521	PE	43991664	19280712.0	13515765.0	1204878.0		9990309	22.71	43991664.0	8886316128.0	PAIRED	Illumina HiSeq 2000	38561424	37714940	846484	2.195	OK	OK	18857470.0	18857470.0	yes	3425208360.0	28.61	93.8	87.9	37714940.0	19280712.0	19280712.0	18857470.0	18857470.0	100.0	43.828103433414114	100.0	97.8048424767716	100.0	False	True	False	False	False	False
main	8240	PE	25446859	20928677.0	2282745.0	1100646.0		1134791	4.46	25446859.0	3867922568.0	PAIRED	Illumina Genome Analyzer IIx	41857354	38257662	3599692	8.6	OK	OK	19128831.0	19128831.0	yes	2792122441.0	23.33	72.5	73.5	38257662.0	20928677.0	20928677.0	19128831.0	19128831.0	100.0	82.24463773701893	100.0	91.40009662340339	100.0	False	False	False	False	False	False
main	8311	PE	8666683	7720823.0	476273.0	253668.0		215919	2.49	8666683.0	1750669966.0	PAIRED	Illumina HiSeq 2000	15441646	15410454	31192	0.202	OK	OK	7705227.0	7705227.0	yes	1433329010.0	11.97	93.4	92.7	15410454.0	7720823.0	7720823.0	7705227.0	7705227.0	100.0	89.08625133744941	100.0	99.79800080898112	100.0	False	False	False	False	False	False
main	8312	PE	10595421	9348488.0	638843.0	320899.0		287191	2.71	10595421.0	2140275042.0	PAIRED	Illumina HiSeq 2000	18696976	18651066	45910	0.246	OK	OK	9325533.0	9325533.0	yes	1722283473.0	14.39	92.8	91.9	18651066.0	9348488.0	9348488.0	9325533.0	9325533.0	100.0	88.23139731776585	100.0	99.75445227078433	100.0	False	False	False	False	False	False
main	8357	PE	70846707	66447085.0	1932473.0	1116230.0		1350919	1.91	70846707.0	14311034814.0	PAIRED	Illumina HiSeq 2000	132894170	128954828	3939342	2.964	OK	OK	64477414.0	64477414.0	yes	12433778457.0	103.87	96.2	96.6	128954828.0	66447085.0	66447085.0	64477414.0	64477414.0	100.0	93.7899414294584	100.0	97.03573000982661	100.0	False	False	False	False	False	False
main	8376	PE	21955611	15582989.0	1941180.0	2721803.0		1709639	7.79	21955611.0	4830234420.0	PAIRED	Illumina Genome Analyzer IIx	31165978	30329214	836764	2.685	OK	OK	15164607.0	15164607.0	yes	2882013029.0	24.08	93.4	96.6	30329214.0	15582989.0	15582989.0	15164607.0	15164607.0	100.0	70.97497309457705	100.0	97.31513639648979	100.0	False	False	False	False	False	False
main	9057	PE	36559654	28978971.0	2803525.0	2764030.0		2013128	5.51	36559654.0	5557067408.0	PAIRED	Illumina Genome Analyzer IIx	57957942	53599636	4358306	7.52	OK	OK	26799818.0	26799818.0	yes	3844029382.0	32.11	71.1	72.3	53599636.0	28978971.0	28978971.0	26799818.0	26799818.0	100.0	79.264894027717	100.0	92.48022643730172	100.0	False	False	False	False	False	False
main	9058	PE	43210615	31920485.0	4266206.0	4057787.0		2966137	6.86	43210615.0	9506335300.0	PAIRED	Illumina Genome Analyzer IIx	63840970	61897970	1943000	3.044	OK	OK	30948985.0	30948985.0	yes	5954496868.0	49.75	95.1	97.3	61897970.0	31920485.0	31920485.0	30948985.0	30948985.0	100.0	73.87185995848475	100.0	96.95649987774308	100.0	False	False	False	False	False	False
main	9323	PE	37047963	34436314.0	1200412.0	1029559.0		381678	1.03	37047963.0	5631290376.0	PAIRED	Illumina Genome Analyzer IIx	68872628	60116006	8756622	12.714	OK	OK	30058003.0	30058003.0	yes	4381701391.0	36.61	74.5	71.3	60116006.0	34436314.0	34436314.0	30058003.0	30058003.0	100.0	92.95062727200413	100.0	87.28577338445689	100.0	False	False	False	False	False	False
main	9371	PE	42875268	38174465.0	2716525.0	1255667.0		728611	1.7	42875268.0	6517040736.0	PAIRED	Illumina Genome Analyzer IIx	76348930	71768744	4580186	5.999	OK	OK	35884372.0	35884372.0	yes	5269020247.0	44.02	73.3	73.5	71768744.0	38174465.0	38174465.0	35884372.0	35884372.0	100.0	89.03609652072612	100.0	94.0009820700827	100.0	False	False	False	False	False	False
main	9394	PE	37608609	34822932.0	1555235.0	844020.0		386422	1.03	37608609.0	5716508568.0	PAIRED	Illumina Genome Analyzer IIx	69645864	66077544	3568320	5.124	OK	OK	33038772.0	33038772.0	yes	4908345133.0	41.01	74.3	74.2	66077544.0	34822932.0	34822932.0	33038772.0	33038772.0	100.0	92.5929805061389	100.0	94.87647967149923	100.0	False	False	False	False	False	False
main	9427	PE	41165565	36218027.0	2458815.0	1558973.0		929750	2.26	41165565.0	6257165880.0	PAIRED	Illumina Genome Analyzer IIx	72436054	66665476	5770578	7.966	OK	OK	33332738.0	33332738.0	yes	4882641858.0	40.79	73.3	73.2	66665476.0	36218027.0	36218027.0	33332738.0	33332738.0	100.0	87.98136743659416	100.0	92.03355555508311	100.0	False	False	False	False	False	False
main	9481	PE	26845755	24997258.0	1125796.0	479114.0		243587	0.91	26845755.0	4080554760.0	PAIRED	Illumina Genome Analyzer IIx	49994516	46619426	3375090	6.751	OK	OK	23309713.0	23309713.0	yes	3441447861.0	28.75	74.0	73.7	46619426.0	24997258.0	24997258.0	23309713.0	23309713.0	100.0	93.11437879098577	100.0	93.24907955904604	100.0	False	False	False	False	False	False
main	9507	PE	15883095	13527829.0	353838.0	908114.0		1093314	6.88	15883095.0	3176619000.0	PAIRED	Illumina HiSeq 2000	27055658	26102830	952828	3.522	OK	OK	13051415.0	13051415.0	yes	2502892974.0	20.91	95.3	96.5	26102830.0	13527829.0	13527829.0	13051415.0	13051415.0	100.0	85.17124024001619	100.0	96.47826713362507	100.0	False	False	False	False	False	False
main	9510	PE	17856314	15059332.0	429911.0	1138534.0		1228537	6.88	17856314.0	3571262800.0	PAIRED	Illumina HiSeq 2000	30118664	29453126	665538	2.21	OK	OK	14726563.0	14726563.0	yes	2771097005.0	23.15	94.3	93.9	29453126.0	15059332.0	15059332.0	14726563.0	14726563.0	100.0	84.33617374784068	100.0	97.79028047193594	100.0	False	False	False	False	False	False
