panel	ecotype	n_pg_snp	n_truth_snp	n_overlap	n_no_truth_record	n_truth_missing	n_pg_missing	n_matched	n_concordant	n_nonref_either	n_nonref_disc	GC	nRD
main	9726	3901027	3235480	1655459	2245568	0	1	1655458	1591557	243104	63901	0.9614	0.262855
main	9736	3901027	3235480	1655459	2245568	0	1	1655458	1607313	232465	48145	0.970917	0.207106
main	9737	3901027	3235480	1655459	2245568	0	0	1655459	1636588	246666	18871	0.988601	0.076504
main	9739	3901027	3235480	1655459	2245568	0	2	1655457	1598493	232814	56964	0.96559	0.244676
main	9741	3901027	3235480	1655459	2245568	0	3	1655456	1606868	232226	48588	0.97065	0.209227
main	9743	3901027	3235480	1655459	2245568	0	1	1655458	1580828	248756	74630	0.954919	0.300013
main	9748	3901027	3235480	1655459	2245568	0	1	1655458	1574847	243783	80611	0.951306	0.330667
main	9749	3901027	3235480	1655459	2245568	0	1	1655458	1609012	229068	46446	0.971944	0.202761
main	9761	3901027	3235480	1655459	2245568	0	3	1655456	1631323	219493	24133	0.985422	0.109949
main	9766	3901027	3235480	1655459	2245568	0	1	1655458	1642529	245795	12929	0.99219	0.052601
main	9769	3901027	3235480	1655459	2245568	0	1	1655458	1634649	209021	20809	0.98743	0.099555
main	9774	3901027	3235480	1655459	2245568	0	7	1655452	1631719	205799	23733	0.985664	0.115321
main	9775	3901027	3235480	1655459	2245568	0	1	1655458	1608273	224390	47185	0.971497	0.210281
main	9779	3901027	3235480	1655459	2245568	0	5	1655454	1635182	205246	20272	0.987754	0.098769
main	9781	3901027	3235480	1655459	2245568	0	1	1655458	1631833	210428	23625	0.985729	0.112271
main	9782	3901027	3235480	1655459	2245568	0	1	1655458	1634274	209120	21184	0.987204	0.101301
main	9784	3901027	3235480	1655459	2245568	0	17	1655442	1635277	207356	20165	0.987819	0.097248
main	9803	3901027	3235480	1655459	2245568	0	0	1655459	1634651	207682	20808	0.987431	0.100192
main	9804	3901027	3235480	1655459	2245568	0	1	1655458	1631414	211833	24044	0.985476	0.113505
main	9813	3901027	3235480	1655459	2245568	0	5	1655454	1630797	212147	24657	0.985106	0.116226
main	9814	3901027	3235480	1655459	2245568	0	5	1655454	1628316	215946	27138	0.983607	0.12567
main	9820	3901027	3235480	1655459	2245568	0	4	1655455	1619892	248362	35563	0.978518	0.14319
main	9857	3901027	3235480	1655459	2245568	0	1	1655458	1606617	246681	48841	0.970497	0.197993
main	9920	3901027	3235480	1655459	2245568	0	1	1655458	1637644	213103	17814	0.989239	0.083593
main	9921	3901027	3235480	1655459	2245568	0	1	1655458	1636570	216303	18888	0.98859	0.087322
main	9925	3901027	3235480	1655459	2245568	0	2	1655457	1629159	218942	26298	0.984114	0.120114
main	9933	3901027	3235480	1655459	2245568	0	7	1655452	1645979	223502	9473	0.994278	0.042384
main	9941	3901027	3235480	1655459	2245568	0	0	1655459	1564600	251518	90859	0.945116	0.361243
main	9944	3901027	3235480	1655459	2245568	0	0	1655459	1573303	346845	82156	0.950373	0.236867
main	9965	3901027	3235480	1655459	2245568	0	1	1655458	1607550	235932	47908	0.971061	0.203059
main	9966	3901027	3235480	1655459	2245568	0	0	1655459	1581137	240972	74322	0.955105	0.308426
main	9977	3901027	3235480	1655459	2245568	0	0	1655459	1427795	328064	227664	0.862477	0.693962
main	9978	3901027	3235480	1655459	2245568	0	0	1655459	1570712	267627	84747	0.948808	0.316661
main	9985	3901027	3235480	1655459	2245568	0	0	1655459	1524943	272982	130516	0.92116	0.478112
