panel	ecotype	gn_n_overlap	gn_n_concordant	gn_nonref_either	gn_nonref_disc	gn_GC	gn_nRD	cactus_n_matched	cactus_n_concordant	cactus_GC	cactus_nRD
main	9699	1655459	1612506	223530	42947	0.974057	0.192131				
main	9713	1655459	1605969	233134	49488	0.970106	0.212273				
main	9716	1655459	1590613	248860	64835	0.960835	0.260528				
main	9719	1655459	1599679	233175	55772	0.96631	0.239185				
main	9723	1655459	1610356	233028	45101	0.972756	0.193543				
main	9726	1655459	1591557	243104	63901	0.9614	0.262855				
main	9736	1655459	1607313	232465	48145	0.970917	0.207106				
main	9737	1655459	1636588	246666	18871	0.988601	0.076504				
main	9739	1655459	1598493	232814	56964	0.96559	0.244676				
main	9741	1655459	1606868	232226	48588	0.97065	0.209227				
main	9743	1655459	1580828	248756	74630	0.954919	0.300013				
main	9748	1655459	1574847	243783	80611	0.951306	0.330667				
main	9749	1655459	1609012	229068	46446	0.971944	0.202761				
loo	9758	1655459	1645461	246123	9998	0.993961	0.040622	7266922.0	7206271.0	0.9916538253747598	0.03133354721420169
loo	9759	1655459	1645689	232242	9769	0.994099	0.042064	7293522.0	7233713.0	0.9917997093859455	0.03148269607136127
main	9761	1655459	1631323	219493	24133	0.985422	0.109949				
main	9766	1655459	1642529	245795	12929	0.99219	0.052601				
main	9769	1655459	1634649	209021	20809	0.98743	0.099555				
main	9774	1655459	1631719	205799	23733	0.985664	0.115321				
main	9775	1655459	1608273	224390	47185	0.971497	0.210281				
main	9779	1655459	1635182	205246	20272	0.987754	0.098769				
main	9781	1655459	1631833	210428	23625	0.985729	0.112271				
main	9782	1655459	1634274	209120	21184	0.987204	0.101301				
main	9784	1655459	1635277	207356	20165	0.987819	0.097248				
main	9803	1655459	1634651	207682	20808	0.987431	0.100192				
main	9804	1655459	1631414	211833	24044	0.985476	0.113505				
main	9813	1655459	1630797	212147	24657	0.985106	0.116226				
main	9814	1655459	1628316	215946	27138	0.983607	0.12567				
main	9820	1655459	1619892	248362	35563	0.978518	0.14319				
main	9857	1655459	1606617	246681	48841	0.970497	0.197993				
loo	9879	1655459	1640337	320111	15121	0.990866	0.047237	7280245.0	7212215.0	0.9906555342574322	0.03030567615558488
main	9920	1655459	1637644	213103	17814	0.989239	0.083593				
main	9921	1655459	1636570	216303	18888	0.98859	0.087322				
main	9925	1655459	1629159	218942	26298	0.984114	0.120114				
main	9933	1655459	1645979	223502	9473	0.994278	0.042384				
main	9941	1655459	1564600	251518	90859	0.945116	0.361243				
main	9944	1655459	1573303	346845	82156	0.950373	0.236867				
loo	9947	1655459	1597413	347236	58046	0.964937	0.167166	7090240.0	6355805.0	0.896416059258925	0.30336306375483946
main	9965	1655459	1607550	235932	47908	0.971061	0.203059				
main	9966	1655459	1581137	240972	74322	0.955105	0.308426				
main	9977	1655459	1427795	328064	227664	0.862477	0.693962				
main	9978	1655459	1570712	267627	84747	0.948808	0.316661				
main	9985	1655459	1524943	272982	130516	0.92116	0.478112				
