,gene,SNPs,hits,Z,top_candidate_p
301,1_1658,1,0,1.6144853130557624,1.0
302,1_1666,2,0,0.45015533009225456,1.0
303,1_167,3,0,0.5838586064649135,1.0
304,1_1673,32,1,3.1658806002868807,0.27501966404214656
305,1_1674,2,0,1.9075235489891544,1.0
307,1_1679,24,2,1.69374427768055,0.02385443111830375
308,1_168,18,3,4.024107870122986,0.000729159843053951
310,1_1683,2,0,2.5310301950134892,1.0
311,1_1685,27,1,3.36356595582952,0.23765728565289646
312,1_1689,2,1,3.080660376768665,0.01990000000000002
313,1_169,1,0,-0.018042185146058164,1.0
314,1_1691,8,1,3.011257980131964,0.07725530557207996
315,1_1695,1,1,2.4913799703908674,0.010000000000000009
316,1_1696,2,0,0.9711775111584479,1.0
318,1_1698,6,0,1.1842359275761818,1.0
319,1_1699,2,0,0.3179205214123473,1.0
320,1_17,6,0,2.246733571699675,1.0
322,1_1701,2,0,-0.3566395858985424,1.0
323,1_1702,7,1,2.936631695401049,0.06793465209301006
324,1_1703,2,1,2.542058300704105,0.01990000000000002
325,1_1704,2,0,-0.15614482461407325,1.0
326,1_1705,15,2,3.352140525268659,0.009629773443364747
327,1_1706,4,1,0.07904000496062286,0.039403990000000035
328,1_1707,1,0,0.33977757077339604,1.0
330,1_1710,7,0,1.502251415811847,1.0
331,1_1712,3,1,1.1587227319616993,0.029701000000000026
332,1_1714,1,0,1.9727796732748477,1.0
333,1_1715,5,0,0.7164352695538446,1.0
334,1_1717,13,2,2.6780483632638457,0.00724894367793522
335,1_1719,3,0,1.1322970252334832,1.0
336,1_172,1,1,3.6196191458463978,0.010000000000000009
337,1_1722,5,0,1.0093221798088456,1.0
339,1_1724,2,0,0.0352631447673889,1.0
340,1_1725,11,1,1.129459718883955,0.10466174574128365
341,1_1729,4,1,1.6338799879599546,0.039403990000000035
342,1_1732,1,0,-0.483428663609848,1.0
343,1_1734,20,1,0.9882168350846522,0.1820930624027693
345,1_1736,19,2,0.6532812741062864,0.015273761488896639
346,1_1737,7,2,2.805560292994783,0.0020310416349400033
347,1_1738,9,0,0.8099564828156536,1.0
348,1_1739,13,2,-0.013738742201164887,0.00724894367793522
349,1_1740,5,2,3.6856862181840016,0.0009801496000000018
350,1_1741,11,2,3.0318918161226347,0.005179717490315069
351,1_1744,11,1,-0.07190916470908057,0.10466174574128365
352,1_1750,1,0,2.3029986686751305,1.0
